Sample,GEO_ID
X202897220024_R06C02,GSM6979999
X202897220084_R05C02,GSM6980000
X202897220127_R06C01,GSM6980001
X202897220013_R01C01,GSM6980002
X202897220127_R01C02,GSM6980003
X202897220013_R02C01,GSM6980004
X202897220127_R04C02,GSM6980005
X202897220013_R03C02,GSM6980006
X202897220127_R05C02,GSM6980007
X202897220013_R04C02,GSM6980008
X202897220059_R05C02,GSM6980009
X202897220013_R05C01,GSM6980010
X202897220127_R03C02,GSM6980011
X202897220084_R06C02,GSM6980012
X202897220013_R04C01,GSM6980013
X202897220013_R01C02,GSM6980014
X202897220013_R02C02,GSM6980015
X202897220127_R02C02,GSM6980016
X202897220013_R05C02,GSM6980017
X202897220059_R06C02,GSM6980018
X202897220013_R06C02,GSM6980019
X202897220127_R06C02,GSM6980020
X203877620010_R03C02,GSM6980021
X203877620010_R04C02,GSM6980022
X203877620010_R05C02,GSM6980023
X203877620010_R06C02,GSM6980024
X203877620020_R01C01,GSM6980025
X203877620020_R02C01,GSM6980026
X203877620020_R03C01,GSM6980027
X203877620020_R04C01,GSM6980028
X203877620020_R05C01,GSM6980029
X203877620020_R06C01,GSM6980030
X203877620020_R01C02,GSM6980031
X203877620020_R02C02,GSM6980032
X203877620020_R03C02,GSM6980033
X203877620020_R04C02,GSM6980034
X203877620020_R05C02,GSM6980035
X203877620020_R06C02,GSM6980036
X203877620005_R01C01,GSM6980037
X203877620005_R02C01,GSM6980038
X203877620005_R03C01,GSM6980039
X203877620005_R04C01,GSM6980040
X203877620005_R05C01,GSM6980041
X203877620005_R06C01,GSM6980042
X203877620005_R02C02,GSM6980043
X203877620005_R03C02,GSM6980044
X203877620005_R04C02,GSM6980045
X203877620005_R05C02,GSM6980046
X203877620005_R06C02,GSM6980047
X204018770018_R05C01,GSM6980048
X204018770018_R06C01,GSM6980049
X204018770018_R01C02,GSM6980050
X204018770018_R02C02,GSM6980051
X204018770018_R03C02,GSM6980052
X204018770018_R04C02,GSM6980053
X204018770018_R05C02,GSM6980054
X204018770018_R06C02,GSM6980055
X204018770008_R03C02,GSM6980056
X204018770008_R04C02,GSM6980057
X204018770008_R05C02,GSM6980058
X204018770008_R06C02,GSM6980059
X204018770007_R01C01,GSM6980060
X204018770007_R02C01,GSM6980061
X204018770007_R03C01,GSM6980062
