SpeciesCommonName,SpeciesLatinName,Tissue,Female,Age,SID
Harbor seal,Phoca vitulina,Blood,1,15.4661191,X204529320038_R05C02
Harbor seal,Phoca vitulina,Blood,1,4.421629021,X204529320038_R06C01
Harbor seal,Phoca vitulina,Blood,1,2.12,X204529320038_R06C02
Greater one horned rhino,Rhinoceros unicornis,Blood,1,2.726899384,X204529320039_R01C01
Roan antelope,Hippotragus equinus,Blood,0,0.019164956,X204529320039_R01C02
Greater one horned rhino,Rhinoceros unicornis,Blood,1,3.728952772,X204529320039_R02C01
Roan antelope,Hippotragus equinus,Blood,0,0.013689254,X204529320039_R02C02
Lesser kudu,Tragelaphus imberbis,Blood,0,10.70499658,X204529320039_R03C01
Greater one horned rhino,Rhinoceros unicornis,Blood,0,12.67624914,X204529320039_R03C02
Dama gazelle,Nanger dama,Blood,0,0.008213552,X204529320039_R04C01
Maned wolf,Chrysocyon brachyurus,Blood,1,4.747433265,X204529320039_R04C02
Somali wild ass,Equus africanus somaliensis,Blood,0,8.054757016,X204529320039_R05C01
Lesser kudu,Tragelaphus imberbis,Blood,1,11.4661191,X204529320039_R05C02
Cheetah,Acinonyx jubatus,Blood,1,7.808350445,X204529320039_R06C01
Gerenuk,Litocranius walleri,Blood,0,1.87816564,X204529320039_R06C02
California sea lion,Zalophus californianus,Blood,1,19.4825462,X204529320040_R01C01
Dama gazelle,Nanger dama,Blood,0,0.008213552,X204529320040_R01C02
White rhino,Ceratotherium simum simum,Blood,1,2.929500342,X204529320040_R02C01
Tiger,Panthera tigris,Blood,0,4.917180014,X204529320040_R02C02
White rhino,Ceratotherium simum simum,Blood,1,9.563312799,X204529320040_R03C01
Dama gazelle,Nanger dama,Blood,0,0.646132786,X204529320040_R03C02
White rhino,Ceratotherium simum simum,Blood,1,9.563312799,X204529320040_R04C01
Cheetah,Acinonyx jubatus,Blood,,7.676933607,X204529320040_R04C02
Tiger,Panthera tigris,Blood,0,4.914442163,X204529320040_R05C01
White rhino,Ceratotherium simum simum,Blood,0,7.526351814,X204529320040_R05C02
Roan antelope,Hippotragus equinus,Blood,1,0.013689254,X204529320040_R06C01
Bongo,Tragelaphus eurycerus,Blood,0,0.008213552,X204529320040_R06C02
Grevy's zebra,Equus grevyi,Blood,0,2.305270363,X204529320041_R01C01
Roan antelope,Hippotragus equinus,Blood,1,6.655715264,X204529320041_R01C02
Okapi,Okapia johnstoni,Blood,1,8.109514031,X204529320041_R02C01
White rhino,Ceratotherium simum simum,Blood,1,0.342231348,X204529320041_R02C02
Gerenuk,Litocranius walleri,Blood,0,0.90349076,X204529320041_R03C01
White rhino,Ceratotherium simum simum,Blood,1,0.314852841,X204529320041_R03C02
Gerenuk,Litocranius walleri,Blood,1,0.955509925,X204529320041_R04C01
Cheetah,Acinonyx jubatus,Blood,1,12.42984257,X204529320041_R04C02
Gerenuk,Litocranius walleri,Blood,0,4.960985626,X204529320041_R05C01
Lesser kudu,Tragelaphus imberbis,Blood,1,0.459958932,X204529320041_R05C02
Somali wild ass,Equus africanus somaliensis,Blood,0,9.029431896,X204529320041_R06C01
Giraffe.reticulata.hybrid,Giraffa camelopardalis,Blood,0,1.593429158,X204529320041_R06C02
Mouse,Mus musculus,WholeBrain,0,0.115074799,X204529320042_R01C01
Mouse,Mus musculus,WholeBrain,0,0.076716532,X204529320042_R01C02
Mouse,Mus musculus,WholeBrain,0,0.115074799,X204529320042_R02C01
Mouse,Mus musculus,WholeBrain,0,0.076716532,X204529320042_R02C02
Mouse,Mus musculus,WholeBrain,0,0.115074799,X204529320042_R03C01
