SpeciesCommonName,SpeciesLatinName,Tissue,Sex,Age,Sample,GEO_ID
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,2.79,X203531420078_R03C02,GSM6987799
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,7.97,X203531420078_R04C01,GSM6987794
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,4.0,X203531420078_R04C02,GSM6987800
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,9.95,X203531420078_R05C01,GSM6987795
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,4.93,X203531420078_R05C02,GSM6987801
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,0.04,X203531420078_R06C01,GSM6987796
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,8.96,X203531420078_R06C02,GSM6987802
Killer whale,Orcinus orca,Skin,Female,54.16,X203531420079_R01C01,GSM6986832
Killer whale,Orcinus orca,Skin,Female,30.42,X203531420079_R02C01,GSM6986833
Killer whale,Orcinus orca,Skin,Female,4.21,X203531420079_R02C02,GSM6986838
Killer whale,Orcinus orca,Skin,Male,17.47,X203531420079_R03C01,GSM6986834
Bottlenose dolphin,Tursiops truncatus,Skin,Female,4.67,X203531420079_R03C02,GSM6986839
Killer whale,Orcinus orca,Skin,Male,6.01,X203531420079_R04C01,GSM6986835
Killer whale,Orcinus orca,Skin,Male,27.17,X203531420079_R04C02,GSM6986840
Killer whale,Orcinus orca,Skin,Male,41.15,X203531420079_R05C01,GSM6986836
Killer whale,Orcinus orca,Skin,Female,,X203531420079_R05C02,GSM6986841
Killer whale,Orcinus orca,Skin,Male,16.49,X203531420079_R06C01,GSM6986837
